tv3	Программа телеканала «ТВ-3»
1tv	Программа передач Первого канала
sts	Программа телеканала «СТС»
TNT	Программа телеканала «ТНТ»
TNT	Программа передач телеканаала «ТНТ»
TNT	Программа передач телеканала «ТНТ»
TNT	Программа передач «ТНТ»
9	Девятый канал Кубань
9	ПРОГРАММА ПЕРЕДАЧ «Девятый канал»
5-piter	ПРОГРАММА ПЕРЕДАЧ «ПЯТЫЙ» КАНАЛ
TV1000rk	TV1000 Kino
TV1000rk	TV1000 г. Kino
TV1000rk	TV1000 -
TV1000rk	TV1000 г. - 
Friday	Программа телеканала «Пятница»
Animal	Программа телеканала «Animal Planet»
REN	Программа телеканала «РЕН ТВ»
REN	Программа телеканала «РЕН-ТВ»
U	Программа телеканала «Ю»
KARUSEL	 Программа передач ТК «КАРУСЕЛЬ»
KARUSEL	Программа передач ТК «КАРУСЕЛЬ»
TVC_REG	 Программа телеканала «ТВ Центр»
TVC_REG	ТВ Центр
Kult	Программа телеканала «Культура»
Zvezda	Программа телеканала «Звезда»
Discovery	Disсovery
Discovery	телеканала «Discovery Channel
Domashniy	Программа телеканала «Домашний» 
rtr	Россия 1
ntv	НТВ
Eurosport	Евроспорт
Eurosport	Eurosport
test	Тестовый канал
Disney	Disney
Disсovery	Disсovery
Discovery	Discovery Channel
Animal	Animal planet
Animal	Animal Planet
Perec	Программа телеканала «Перец» 
Eurosport	Академическая гребля
