1tv	Программа передач Первого канала
sts	Программа телеканала «СТС»
tv3	Программа телеканала «ТВ-3»
TNT	Программа телеканала «ТНТ»
TNT	Программа передач телеканаала «ТНТ»
9	Девятый канал Кубань
5-piter	ПРОГРАММА ПЕРЕДАЧ «ПЯТЫЙ» КАНАЛ
TV1000rk	TV1000 Kino
TV1000rk	TV1000 г. Kino
TV1000	TV1000 -
TV1000	TV1000 г. - 
Friday	Программа телеканала «Пятница»
Animal	Программа телеканала «Animal Planet»
REN	Программа телеканала «РЕН ТВ»
U	Программа телеканала «Ю»
KARUSEL	 Программа передач ТК «КАРУСЕЛЬ»
